exercise,difficulty_level,target_muscle_group,primary_equipment,single_or_double_arm,continuous_or_alternating,grip,primary_exercise_classification
Double Clubbell Order Alternating Forward Lunge,Novice,Quadriceps,Clubbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Clubbell Order Alternating Reverse Lunge,Novice,Quadriceps,Clubbell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Clubbell Order Alternating Lateral Lunge,Novice,Quadriceps,Clubbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Clubbell Order Alternating Forward Lunge,Novice,Quadriceps,Clubbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Clubbell Order Alternating Reverse Lunge,Novice,Quadriceps,Clubbell,Single Arm,Continuous,Neutral,Bodybuilding
Landmine Low Hold Alternating Lateral Lunge,Novice,Quadriceps,Landmine,Double Arm,Continuous,Neutral,Bodybuilding
Landmine Goblet Alternating Lateral Lunge,Novice,Quadriceps,Landmine,Double Arm,Continuous,Goblet,Bodybuilding
Landmine Goblet Alternating Reverse Lunge,Novice,Quadriceps,Landmine,Double Arm,Continuous,Goblet,Bodybuilding
Macebell Order Alternating Lateral Lunge,Novice,Quadriceps,Macebell,Double Arm,Continuous,Neutral,Bodybuilding
Macebell Order Alternating Forward Lunge,Novice,Quadriceps,Macebell,Double Arm,Continuous,Neutral,Bodybuilding
Macebell Order Alternating Reverse Lunge,Novice,Quadriceps,Macebell,Double Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Bottoms Up Overhead Alternating Lateral Lunge,Advanced,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Double Kettlebell Bottoms Up Overhead Alternating Forward Lunge,Advanced,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Double Kettlebell Bottoms Up Overhead Alternating Reverse Lunge,Advanced,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Suitcase Alternating Forward Lunge,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Front Rack Cyclist Squat,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Overhead Cyclist Squat,Intermediate,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Front Rack Cyclist Squat,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Overhead Cyclist Squat,Intermediate,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Bodyweight Alternating Lateral Lunge,Beginner,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Bodybuilding
Bodyweight Alternating Forward Lunge,Beginner,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Bodybuilding
Bodyweight Alternating Reverse Lunge,Beginner,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Bodybuilding
Macebell Order Cyclist Squat,Novice,Quadriceps,Macebell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Overhead Squat,Intermediate,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Overhead Squat,Intermediate,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Macebell Order Squat,Beginner,Quadriceps,Macebell,Double Arm,Continuous,Neutral,Unsorted*
Double Dumbbell Front Rack Bulgarian Split Squat,Intermediate,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Overhead Bulgarian Split Squat,Advanced,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Overhead Ipsilateral Bulgarian Split Squat,Advanced,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Suitcase Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Suitcase Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Front Rack Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Front Rack Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Clubbell Order March,Novice,Abdominals,Clubbell,Double Arm,Continuous,Neutral,Balance
Macebell Order Walking Lunge,Novice,Quadriceps,Macebell,Double Arm,Continuous,Neutral,Bodybuilding
Suspension Alternating Lateral Lunge,Beginner,Quadriceps,Suspension Trainer,Double Arm,Continuous,Neutral,Bodybuilding
Bulgarian Bag Back Rack Alternating Lateral Lunge,Novice,Quadriceps,Bulgarian Bag,Double Arm,Continuous,Neutral,Bodybuilding
Bulgarian Bag Back Rack Walking Lunge,Novice,Quadriceps,Bulgarian Bag,Double Arm,Continuous,Neutral,Bodybuilding
Bulgarian Bag Back Rack Alternating Forward Lunge,Novice,Quadriceps,Bulgarian Bag,Double Arm,Continuous,Neutral,Bodybuilding
Heavy Sandbag Bear Hug Alternating Lateral Lunge,Intermediate,Quadriceps,Heavy Sandbag,Double Arm,Continuous,Neutral,Unsorted*
Heavy Sandbag Shoulder Alternating Lateral Lunge,Intermediate,Quadriceps,Heavy Sandbag,Double Arm,Continuous,Neutral,Unsorted*
Sandbag Front Rack Alternating Lateral Lunge,Novice,Quadriceps,Sandbag,Double Arm,Continuous,Neutral,Bodybuilding
Sandbag Front Rack Walking Lunge,Novice,Quadriceps,Sandbag,Double Arm,Continuous,Neutral,Bodybuilding
Sandbag Front Rack Alternating Forward Lunge,Novice,Quadriceps,Sandbag,Double Arm,Continuous,Neutral,Bodybuilding
Sandbag Front Rack Alternating Reverse Lunge,Novice,Quadriceps,Sandbag,Double Arm,Continuous,Neutral,Bodybuilding
Plate Overhead Walking Lunge,Intermediate,Quadriceps,Weight Plate,Double Arm,Continuous,Neutral,Bodybuilding
Plate Overhead Alternating Lateral Lunge,Intermediate,Quadriceps,Weight Plate,Double Arm,Continuous,Neutral,Bodybuilding
Plate Overhead Alternating Forward Lunge,Intermediate,Quadriceps,Weight Plate,Double Arm,Continuous,Neutral,Bodybuilding
Plate Overhead Alternating Reverse Lunge,Intermediate,Quadriceps,Weight Plate,Double Arm,Continuous,Neutral,Bodybuilding
Barbell Single Leg Standing Bent Knee Overhead Press,Expert,Shoulders,Barbell,Double Arm,Continuous,Pronated,Balance
Single Arm Barbell Single Leg Standing Bent Knee Contralateral Overhead Press ,Expert,Shoulders,Barbell,Single Arm,Continuous,Pronated,Balance
Bodyweight Tuck Planche,Advanced,Abdominals,Bodyweight,Double Arm,Continuous,Flat Palm,Calisthenics
Single Arm Barbell Single Leg Standing Bent Knee Ipsilateral Overhead Press,Expert,Shoulders,Barbell,Single Arm,Continuous,Pronated,Balance
Double Kettlebell Push Up to L Sit,Expert,Chest,Kettlebell,Double Arm,Continuous,Neutral,Calisthenics
Bar L Sit Hang,Intermediate,Abdominals,Pull Up Bar,Double Arm,Continuous,Pronated,Calisthenics
Ring L Sit Hang,Intermediate,Abdominals,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Single Arm Bar L Sit Hang,Advanced,Abdominals,Pull Up Bar,Single Arm,Continuous,Pronated,Calisthenics
Single Arm Ring L Sit Hang,Advanced,Abdominals,Gymnastic Rings,Single Arm,Continuous,Pronated,Calisthenics
Single Arm Kettlebell Suitcase Alternating Reverse Lunge,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Parallette L Sit Flutter Kicks,Advanced,Abdominals,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Bodyweight Single Arm Contralateral Single Leg Push Up,Expert,Chest,Bodyweight,Single Arm,Continuous,Flat Palm,Calisthenics
Parallette Tuck Planche Push Up,Expert,Chest,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Ring Maltese Push Up,Expert,Chest,Gymnastic Rings,Double Arm,Continuous,Supinated,Calisthenics
Ring Tuck Planche Push Up,Expert,Chest,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
Parallette L Sit to Tuck Planche Push Up,Expert,Chest,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Ring L Sit to Tuck Planche Push Up,Expert,Chest,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
Bar Advanced Tuck Front Lever Pull Up,Expert,Back,Pull Up Bar,Double Arm,Continuous,Pronated,Calisthenics
Bar Gironda Sternum Chin Up,Expert,Biceps,Pull Up Bar,Double Arm,Continuous,Supinated,Calisthenics
Bar L Sit Archer Pull Up,Expert,Back,Pull Up Bar,Double Arm,Alternating,Pronated,Calisthenics
Bar Straddle Front Lever Pull Up,Expert,Back,Pull Up Bar,Double Arm,Continuous,Pronated,Calisthenics
Bar Strict Muscle Up,Expert,Back,Pull Up Bar,Double Arm,Continuous,False Grip,Calisthenics
Bar Tuck Front Lever Pull Up,Expert,Back,Pull Up Bar,Double Arm,Continuous,Pronated,Calisthenics
Bodyweight Tuck Planche Push Up,Expert,Chest,Bodyweight,Double Arm,Continuous,Flat Palm,Calisthenics
Double Clubbell Asynchronous Mill,Expert,Shoulders,Clubbell,Double Arm,Alternating,Neutral,Ballistics
Clubbell Order Step Up,Novice,Quadriceps,Clubbell,Double Arm,Continuous,Neutral,Bodybuilding
Clubbell Order Alternating Step Up,Novice,Quadriceps,Clubbell,Double Arm,Continuous,Neutral,Bodybuilding
Bodyweight L Sit,Expert,Abdominals,Bodyweight,Double Arm,Continuous,Flat Palm,Calisthenics
Bodyweight Single Arm L Sit,Master,Abdominals,Bodyweight,Single Arm,Continuous,Flat Palm,Calisthenics
Alternating Single Arm Kettlebell Low Hold Alternating Lateral Lunge,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Front Rack Alternating Lateral Lunge,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Front Rack Alternating Forward Lunge,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Front Rack Alternating Reverse Lunge,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Alternating Lateral Lunge,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Alternating Forward Lunge,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Parallette V Sit to Pike Press Handstand,Expert,Shoulders,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Ring Pseudo Planche Push Up,Expert,Chest,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
Single Arm Macebell Order Contralateral Cossack Squat,Novice,Quadriceps,Macebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Macebell Order Low Switch Cossack Squat,Intermediate,Quadriceps,Macebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Macebell Order Alternating Cossack Squat,Novice,Quadriceps,Macebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Macebell Order Foot Elevated Contralateral Cossack Squat,Intermediate,Quadriceps,Macebell,Single Arm,Continuous,Neutral,Bodybuilding
Stability Ball Feet Elevated Glute Bridge,Novice,Glutes,Stability Ball,No Arms,Continuous,No Grip,Bodybuilding
Bodyweight Mountain Climber,Novice,Abdominals,Bodyweight,Double Arm,Continuous,Flat Palm,Calisthenics
Suspension Feet Elevated Mountain Climber,Intermediate,Abdominals,Suspension Trainer,Double Arm,Continuous,Flat Palm,Unsorted*
Bodyweight Straddle L Sit,Expert,Abdominals,Bodyweight,Double Arm,Continuous,Flat Palm,Calisthenics
Single Arm Kettlebell Bottoms Up Front Rack Alternating Reverse Lunge,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Bodyweight Cossack Squat,Beginner,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Bodybuilding
Bodyweight Wall Facing Handstand Push Up,Expert,Shoulders,Bodyweight,Double Arm,Continuous,Flat Palm,Calisthenics
Ring Pelican Push Up,Expert,Chest,Gymnastic Rings,Double Arm,Continuous,Supinated,Calisthenics
Barbell Back Rack Alternating Step Up,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Front Rack Alternating Step Up,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Ring Feet Elevated Pelican Push Up,Expert,Chest,Gymnastic Rings,Double Arm,Continuous,Supinated,Calisthenics
Suspension Pelican Push Up,Expert,Chest,Suspension Trainer,Double Arm,Continuous,Neutral,Unsorted*
Ring Tuck L Sit,Intermediate,Abdominals,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
Ring Tuck L Sit Hang,Intermediate,Abdominals,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Bar Tuck L Sit Hang,Intermediate,Abdominals,Pull Up Bar,Double Arm,Continuous,Pronated,Calisthenics
Single Arm Kettlebell Overhead Alternating Lateral Lunge,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Single Arm Kettlebell Overhead Alternating Forward Lunge,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Ring Mountain Climber,Intermediate,Abdominals,Gymnastic Rings,Double Arm,Continuous,Neutral,Calisthenics
Ring Feet Elevated Mountain Climber,Intermediate,Abdominals,Gymnastic Rings,Double Arm,Continuous,Flat Palm,Calisthenics
Single Arm Kettlebell Overhead Alternating Reverse Lunge,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Ring Dead Hang,Beginner,Back,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Parallette Kneeling Push Up,Beginner,Chest,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Clubbell Outside Circle,Intermediate,Abdominals,Clubbell,Double Arm,Continuous,Neutral,Ballistics
Single Arm Macebell Order Carry,Novice,Forearms,Macebell,Single Arm,Continuous,Neutral,Unsorted*
Clubbell Order Carry,Novice,Forearms,Clubbell,Double Arm,Continuous,Neutral,Unsorted*
Macebell Order Carry,Novice,Forearms,Macebell,Double Arm,Continuous,Neutral,Unsorted*
Macebell Order March,Novice,Abdominals,Macebell,Double Arm,Continuous,Neutral,Balance
Single Arm Macebell Order March,Novice,Abdominals,Macebell,Single Arm,Continuous,Neutral,Balance
Single Arm Kettlebell Bottoms Up Overhead Alternating Lateral Lunge,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Alternating Forward Lunge,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Alternating Reverse Lunge,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Stability Ball T's Y's I's ,Beginner,Shoulders,Stability Ball,Double Arm,Continuous,No Grip,Postural
Resistance Band Reverse Fly,Beginner,Shoulders,Resistance Band,Double Arm,Continuous,Neutral,Unsorted*
Resistance Band Lateral Raise,Beginner,Shoulders,Resistance Band,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Lateral Raise,Beginner,Shoulders,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Resistance Band Standing Shoulder External Rotation,Beginner,Shoulders,Resistance Band,Single Arm,Continuous,Neutral,Unsorted*
Double Dumbbell Seated Lateral Raise,Beginner,Shoulders,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Side Lying Shoulder External Rotation,Beginner,Shoulders,Dumbbell,Single Arm,Continuous,Neutral,Unsorted*
Miniband Standing Shoulder External Rotation,Beginner,Shoulders,Miniband,Double Arm,Continuous,Neutral,Unsorted*
Single Arm Dumbbell Side Lying Shoulder Internal Rotation,Beginner,Shoulders,Dumbbell,Single Arm,Continuous,Neutral,Unsorted*
Stability Ball Double Dumbbell Seated Arnold Press,Beginner,Shoulders,Stability Ball,Double Arm,Continuous,Pronated,Unsorted*
Single Arm Cable Lateral Raise,Beginner,Shoulders,Cable,Single Arm,Continuous,Pronated,Bodybuilding
Double Dumbbell Seated Overhead Press,Beginner,Shoulders,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Overhead Press,Beginner,Shoulders,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Shrug,Beginner,Trapezius,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Standing Scaption,Beginner,Shoulders,Dumbbell,Double Arm,Continuous,Neutral,Unsorted*
EZ Bar Kneeling Rollout,Intermediate,Abdominals,EZ Bar,Double Arm,Continuous,Pronated,Unsorted*
EZ Bar Standing Rollout,Advanced,Abdominals,EZ Bar,Double Arm,Continuous,Pronated,Unsorted*
Double Dumbbell Seated Scaption,Beginner,Shoulders,Dumbbell,Double Arm,Continuous,Neutral,Unsorted*
Stability Ball Double Dumbbell Seated Scaption,Beginner,Shoulders,Stability Ball,Double Arm,Continuous,Neutral,Unsorted*
Alternating Double Dumbbell Bicep Curl,Beginner,Biceps,Dumbbell,Double Arm,Alternating,Supinated,Bodybuilding
Alternating Double Dumbbell Incline Bench Bicep Curl,Beginner,Biceps,Dumbbell,Double Arm,Alternating,Supinated,Bodybuilding
Alternating Double Dumbbell Hammer Curl,Beginner,Biceps,Dumbbell,Double Arm,Alternating,Neutral,Bodybuilding
Alternating Double Dumbbell Cross Body Hammer Curl,Beginner,Biceps,Dumbbell,Double Arm,Alternating,Neutral,Bodybuilding
Single Arm Dumbbell Incline Bench Preacher Curl,Beginner,Biceps,Dumbbell,Single Arm,Continuous,Supinated,Bodybuilding
Dumbbell Crush Grip Bicep Curl,Beginner,Biceps,Dumbbell,Double Arm,Continuous,Crush Grip,Bodybuilding
Double Dumbbell Zottman Curl,Beginner,Biceps,Dumbbell,Double Arm,Continuous,Supinated,Bodybuilding
Dumbbell Waiter Curl,Beginner,Biceps,Dumbbell,Double Arm,Continuous,Supinated,Bodybuilding
Cable Straight Bar Drag Curl,Beginner,Biceps,Cable,Double Arm,Continuous,Supinated,Bodybuilding
Cable Rope Hammer Curl,Beginner,Biceps,Cable,Double Arm,Continuous,Neutral,Bodybuilding
Kettlebell Goblet Alternating Lateral Lunge,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Goblet,Bodybuilding
Suspension Bicep Curl,Beginner,Biceps,Suspension Trainer,Double Arm,Continuous,Supinated,Unsorted*
Double Dumbbell Tricep Kickback,Beginner,Triceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Tire Jump,Intermediate,Quadriceps,Tire,No Arms,Continuous,No Grip,Plyometric
Tire Jump Through,Intermediate,Quadriceps,Tire,No Arms,Continuous,No Grip,Plyometric
Tire Broad Jump,Advanced,Quadriceps,Tire,No Arms,Continuous,No Grip,Plyometric
Tire Step Up,Novice,Quadriceps,Tire,No Arms,Continuous,No Grip,Unsorted*
Tire Alternating Step Up,Novice,Quadriceps,Tire,No Arms,Continuous,No Grip,Unsorted*
Tire Alternating Toe Taps Around the World,Intermediate,Quadriceps,Tire,No Arms,Continuous,No Grip,Plyometric
Dumbbell Seated Overhead Tricep Extension,Beginner,Triceps,Dumbbell,Double Arm,Continuous,Flat Palm,Bodybuilding
Tire Lateral Jump Through,Intermediate,Quadriceps,Tire,No Arms,Continuous,No Grip,Plyometric
Tire Carry,Intermediate,Forearms,Tire,Double Arm,Continuous,Other,Unsorted*
Dumbbell Overhead Tricep Extension,Beginner,Triceps,Dumbbell,Double Arm,Continuous,Flat Palm,Bodybuilding
Double Dumbbell Close Grip Floor Press,Beginner,Triceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Barbell Back Rack Carry,Intermediate,Abdominals,Barbell,Double Arm,Continuous,Pronated,Unsorted*
Single Arm Barbell Suitcase Carry,Intermediate,Forearms,Barbell,Single Arm,Continuous,Neutral,Unsorted*
Suspension Bulgarian Split Squat,Intermediate,Quadriceps,Suspension Trainer,No Arms,Continuous,No Grip,Bodybuilding
Suspension Bulgarian Split Squat Jump,Advanced,Quadriceps,Suspension Trainer,No Arms,Continuous,No Grip,Plyometric
Bodyweight Lateral Bear Crawl,Novice,Abdominals,Bodyweight,Double Arm,Alternating,Flat Palm,Animal Flow
Bodyweight Step Up Jump,Intermediate,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Plyometric
Tire Step Up Jump,Intermediate,Quadriceps,Tire,No Arms,Continuous,No Grip,Plyometric
Bodyweight Alternating Step Up Jump,Intermediate,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Plyometric
Tire Alternating Step Up Jump,Intermediate,Quadriceps,Tire,No Arms,Continuous,No Grip,Plyometric
Barbell Power Clean to Push Press,Expert,Shoulders,Barbell,Double Arm,Continuous,Pronated,Olympic Weightlifting 
Double Dumbbell Close Grip Bench Press,Beginner,Triceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Clubbell Inside Pendulum,Intermediate,Abdominals,Clubbell,Double Arm,Continuous,Neutral,Ballistics
Single Arm Clubbell Outside Pendulum,Intermediate,Abdominals,Clubbell,Single Arm,Continuous,Neutral,Ballistics
Double Clubbell Outside Pendulum,Intermediate,Abdominals,Clubbell,Double Arm,Continuous,Neutral,Ballistics
Double Clubbell Inside Pendulum to Outside Pendulum,Intermediate,Abdominals,Clubbell,Double Arm,Continuous,Neutral,Ballistics
Clubbell Outside Pendulum,Intermediate,Abdominals,Clubbell,Double Arm,Continuous,Neutral,Ballistics
Double Clubbell Inside Circle,Intermediate,Abdominals,Clubbell,Double Arm,Continuous,Neutral,Ballistics
Double Clubbell Outside Circle,Intermediate,Abdominals,Clubbell,Double Arm,Continuous,Neutral,Ballistics
Clubbell Side to Side Swing,Intermediate,Abdominals,Clubbell,Double Arm,Continuous,Neutral,Ballistics
Double Dumbbell Close Grip Incline Bench Press,Beginner,Triceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Cable Rope Tricep Pushdown ,Beginner,Triceps,Cable,Double Arm,Continuous,Neutral,Bodybuilding
Barbell Incline Push Up,Beginner,Chest,Barbell,Double Arm,Continuous,Pronated,Calisthenics
Bodyweight Kneeling Push Up,Beginner,Chest,Bodyweight,Double Arm,Continuous,Flat Palm,Calisthenics
Suspension Push Up,Beginner,Chest,Suspension Trainer,Double Arm,Continuous,Pronated,Unsorted*
Suspension Chest Fly,Beginner,Chest,Suspension Trainer,Double Arm,Continuous,Neutral,Unsorted*
Stability Ball Double Dumbbell Chest Fly,Beginner,Chest,Stability Ball,Double Arm,Continuous,Neutral,Unsorted*
Stability Ball Dumbbell Pullover ,Beginner,Back,Stability Ball,Double Arm,Continuous,Flat Palm,Bodybuilding
Tire Feet Elevated Glute Bridge,Novice,Glutes,Tire,No Arms,Continuous,No Grip,Bodybuilding
Double Dumbbell Incline Bench Chest Fly,Beginner,Chest,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Suspension Low Row,Beginner,Back,Suspension Trainer,Double Arm,Continuous,Neutral,Unsorted*
Tire Flip,Advanced,Back,Tire,Double Arm,Continuous,Supinated,Unsorted*
Tire In and Out Jump Squat,Intermediate,Quadriceps,Tire,No Arms,Continuous,No Grip,Plyometric
Kettlebell Goblet Alternating Forward Lunge,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Goblet,Bodybuilding
Double Dumbbell Suitcase Feet Elevated Calf Raise,Novice,Calves,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Suitcase Calf Raise,Beginner,Calves,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Suspension Mid Row,Beginner,Back,Suspension Trainer,Double Arm,Continuous,Pronated,Unsorted*
Double Dumbbell Seated Calf Raise,Beginner,Calves,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Barbell Seated Calf Raise,Novice,Calves,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Double Clubbell Order Feet Elevated Calf Raise,Novice,Calves,Clubbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Clubbell Order Calf Raise,Beginner,Calves,Clubbell,Double Arm,Continuous,Neutral,Bodybuilding
Clubbell Order Feet Elevated Calf Raise,Novice,Calves,Clubbell,Double Arm,Continuous,Neutral,Bodybuilding
Clubbell Order Calf Raise,Beginner,Calves,Clubbell,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Clubbell Order Feet Elevated Calf Raise,Novice,Calves,Clubbell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Clubbell Order Calf Raise,Beginner,Calves,Clubbell,Single Arm,Continuous,Neutral,Bodybuilding
Bodyweight Hand Assisted Feet Elevated Calf Raise,Beginner,Calves,Bodyweight,Double Arm,Continuous,Hand Assisted,Bodybuilding
Bodyweight Hand Assisted Calf Raise,Beginner,Calves,Bodyweight,Double Arm,Continuous,Hand Assisted,Bodybuilding
Bodyweight Calf Raise,Beginner,Calves,Bodyweight,No Arms,Continuous,No Grip,Bodybuilding
Bodyweight Hand Assisted Foot Elevated Single Leg Calf Raise,Novice,Calves,Bodyweight,Double Arm,Continuous,Hand Assisted,Bodybuilding
Bodyweight Hand Assisted Single Leg Calf Raise,Novice,Calves,Bodyweight,Double Arm,Continuous,Hand Assisted,Bodybuilding
Bodyweight Single Leg Calf Raise,Novice,Calves,Bodyweight,No Arms,Continuous,No Grip,Bodybuilding
Barbell Front Rack Feet Elevated Calf Raise,Intermediate,Calves,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Kettlebell Goblet Alternating Reverse Lunge,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Goblet,Bodybuilding
Double Kettlebell L Sit Flutter Kicks,Advanced,Abdominals,Kettlebell,Double Arm,Continuous,Neutral,Calisthenics
Double Dumbbell Front Rack Feet Elevated Calf Raise,Novice,Calves,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Front Rack Calf Raise,Beginner,Calves,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Barbell Back Rack Feet Elevated Calf Raise,Intermediate,Calves,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Tire Mountain Climber,Novice,Abdominals,Tire,Double Arm,Continuous,Flat Palm,Calisthenics
Bodyweight Wall Supported Tibialis Raise,Beginner,Shins,Bodyweight,No Arms,Continuous,No Grip,Unsorted*
Cable Seated Tibialis Raise,Novice,Shins,Cable,No Arms,Continuous,No Grip,Unsorted*
Cable Seated Single Leg Tibialis Raise,Novice,Shins,Cable,No Arms,Continuous,No Grip,Unsorted*
Kettlebell Goblet Walking Lunge,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Goblet,Bodybuilding
Dumbbell Seated Tibialis Raise,Novice,Shins,Dumbbell,No Arms,Continuous,No Grip,Unsorted*
Kettlebell Horn Grip Alternating Lateral Lunge,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Horn Grip,Bodybuilding
Kettlebell Low Hold Alternating Lateral Lunge,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Double Dumbbell Seated Feet Elevated Calf Raise,Beginner,Calves,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Barbell Seated Feet Elevated Calf Raise,Novice,Calves,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
