exercise,difficulty_level,target_muscle_group,primary_equipment,single_or_double_arm,continuous_or_alternating,grip,primary_exercise_classification
Cable Hip Rotation,Novice,Glutes,Cable,No Arms,Continuous,Neutral,Unsorted*
Barbell Bicep Curl,Novice,Biceps,Barbell,Double Arm,Continuous,Supinated,Bodybuilding
Barbell Overhead Press,Novice,Shoulders,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Push Press,Novice,Shoulders,Barbell,Double Arm,Continuous,Pronated,Unsorted*
Barbell Bent Over Row,Novice,Back,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Landmine Meadows Row,Novice,Back,Landmine,Single Arm,Continuous,Pronated,Bodybuilding
Cable Straight Bar Seated Bicep Curl,Novice,Biceps,Cable,Double Arm,Continuous,Supinated,Bodybuilding
Cable Rope Bench Skull Crusher,Novice,Triceps,Cable,Double Arm,Continuous,Neutral,Bodybuilding
Single Arm Dumbbell Seated Cuban Press,Novice,Shoulders,Dumbbell,Single Arm,Continuous,Pronated,Unsorted*
Bodyweight Wall Facing Handstand,Novice,Shoulders,Bodyweight,Double Arm,Continuous,Flat Palm,Calisthenics
Parallette Close Grip Push Up,Novice,Triceps,Parallette Bars,Double Arm,Continuous,Pronated,Calisthenics
Parallette Wide Push Up,Novice,Chest,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Barbell Front Raise,Novice,Shoulders,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Cable Front Raise,Novice,Shoulders,Cable,Single Arm,Continuous,Pronated,Bodybuilding
Parallette Side Plank,Intermediate,Abdominals,Parallette Bars,Single Arm,Continuous,Neutral,Calisthenics
Cable Straight Bar Front Raise,Novice,Shoulders,Cable,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Close Grip Bench Press,Novice,Triceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Cable Bicep Curl,Novice,Biceps,Cable,Single Arm,Continuous,Supinated,Bodybuilding
Single Arm Cable Shotgun Row,Novice,Back,Cable,Single Arm,Continuous,Pronated,Bodybuilding
Cable Half Kneeling Face Pull,Novice,Shoulders,Cable,Double Arm,Continuous,Neutral,Unsorted*
Stability Ball Double Dumbbell W Raise,Novice,Shoulders,Stability Ball,Double Arm,Continuous,Pronated,Unsorted*
Single Arm Kettlebell Bent Over Row,Novice,Back,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Gorilla Row,Novice,Back,Kettlebell,Double Arm,Alternating,Neutral,Bodybuilding
Kettlebell Alternating Halo,Novice,Shoulders,Kettlebell,Double Arm,Continuous,Bottoms Up Horn Grip,Mobility
Single Arm Kettlebell Overhead Press,Novice,Shoulders,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Kettlebell Horn Grip Bicep Curl,Novice,Biceps,Kettlebell,Double Arm,Continuous,Bottoms Up Horn Grip,Bodybuilding
Double Dumbbell Prone Row,Novice,Back,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Z Press,Novice,Shoulders,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Double Kettlebell Push Press,Novice,Shoulders,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Prone Row,Novice,Back,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Dumbbell Cuban Press,Novice,Shoulders,Dumbbell,Single Arm,Continuous,Pronated,Unsorted*
Single Arm Kettlebell Push Jerk,Novice,Shoulders,Kettlebell,Single Arm,Continuous,Pronated,Unsorted*
Barbell Incline Bench Press,Novice,Chest,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Double Kettlebell Tall Kneeling Overhead Press,Novice,Shoulders,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Double Dumbbell Incline Bench Prone Y Raise,Novice,Shoulders,Dumbbell,Double Arm,Continuous,Neutral,Postural
Suspension Face Pull to Overhead Press,Novice,Shoulders,Suspension Trainer,Double Arm,Continuous,Pronated,Unsorted*
Double Dumbbell Reverse Grip Bench Press,Novice,Chest,Dumbbell,Double Arm,Continuous,Supinated,Bodybuilding
Single Arm Cable Seated Floor Lat Pulldown,Novice,Back,Cable,Single Arm,Continuous,Pronated,Bodybuilding
Double Dumbbell Suitcase Carry,Beginner,Forearms,Dumbbell,Double Arm,Continuous,Neutral,Unsorted*
Single Arm Resistance Band Half Kneeling Cuban Press,Novice,Shoulders,Resistance Band,Single Arm,Continuous,Pronated,Unsorted*
Double Dumbbell Cuban Press,Novice,Shoulders,Dumbbell,Double Arm,Continuous,Pronated,Unsorted*
Double Kettlebell Pendlay Row,Novice,Back,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Half Kneeling Overhead Press,Novice,Shoulders,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Kettlebell Push Press,Novice,Shoulders,Kettlebell,Single Arm,Continuous,Pronated,Unsorted*
Double Kettlebell Push Jerk,Novice,Shoulders,Kettlebell,Double Arm,Continuous,Pronated,Unsorted*
Double Dumbbell Glute Bridge Isometric Floor Press,Novice,Chest,Dumbbell,Double Arm,Continuous,Pronated,Bodybuilding
Double Kettlebell Seesaw Overhead Press,Novice,Shoulders,Kettlebell,Double Arm,Alternating,Pronated,Unsorted*
Alternating Double Kettlebell Z Press,Novice,Shoulders,Kettlebell,Double Arm,Alternating,Pronated,Bodybuilding
Bodyweight Burpee,Intermediate,Chest,Bodyweight,Double Arm,Continuous,Flat Palm,Unsorted*
Double Dumbbell Devil Press,Advanced,Shoulders,Dumbbell,Double Arm,Continuous,Neutral,Unsorted*
Alternating Single Arm Dumbbell Devil Press,Advanced,Shoulders,Dumbbell,Single Arm,Alternating,Neutral,Unsorted*
Double Kettlebell Seesaw Z Press,Novice,Shoulders,Kettlebell,Double Arm,Alternating,Pronated,Bodybuilding
Double Plate Lu Raise,Novice,Shoulders,Weight Plate,Double Arm,Continuous,Other,Mobility
Plate Steering Wheel,Novice,Shoulders,Weight Plate,Double Arm,Continuous,Neutral,Unsorted*
Suspension Cuban Press,Novice,Shoulders,Suspension Trainer,Double Arm,Continuous,Pronated,Unsorted*
Barbell Decline Bench Press,Novice,Chest,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Kettlebell Half Kneeling Alternating Halo,Novice,Shoulders,Kettlebell,Double Arm,Continuous,Bottoms Up Horn Grip,Mobility
Kettlebell Tall Kneeling Alternating Halo,Novice,Shoulders,Kettlebell,Double Arm,Continuous,Bottoms Up Horn Grip,Mobility
Bodyweight Rolling Squat Burpee,Advanced,Chest,Bodyweight,Double Arm,Continuous,Flat Palm,Plyometric
Kettlebell Tall Kneeling Alternating Hip to Halo,Novice,Shoulders,Kettlebell,Double Arm,Alternating,Bottoms Up Horn Grip,Mobility
